time,open,high,low,close,Volume,Volume MA
2020-05-27T22:30:00Z,205.35,205.99,205.14,205.99,29.12354,10.431657500000133
2020-05-27T23:00:00Z,205.57,206.38,205.56,206.38,10.52204,10.046313500000135
2020-05-27T23:30:00Z,207.31,207.54,207.17,207.39,8.06154,9.416579000000135
2020-05-28T00:00:00Z,206.7,207.54,206.7,207.41,0.56792,8.908193000000136
2020-05-28T00:30:00Z,207.52,208.01,207.24,208.01,6.56682,8.964722500000136
2020-05-28T01:00:00Z,207.85,210.1,207.56,207.66,87.03343,13.257023500000136
2020-05-28T01:30:00Z,207.54,207.54,207.54,207.54,0.48071,12.883066500000135
2020-05-28T02:00:00Z,206.83,206.85,206.27,206.63,2.76054,12.412397000000134
2020-05-28T02:30:00Z,206.78,206.78,206.75,206.75,0.58281,12.397156000000134
2020-05-28T04:00:00Z,206,206.09,205.61,205.87,17.24573,12.366120000000134
2020-05-28T04:30:00Z,205.9,205.91,205.83,205.83,0.83212,12.374190000000134
2020-05-28T05:00:00Z,205.77,205.92,205.16,205.33,10.91252,11.256155000000133
2020-05-28T06:00:00Z,206.03,206.1,205.87,205.97,14.05041,11.741844500000132
2020-05-28T06:30:00Z,206.18,206.21,206.04,206.04,8.36251,11.914994000000132
2020-05-28T07:00:00Z,206.26,206.26,204.7,204.7,15.90522,12.431868500000132
2020-05-28T08:00:00Z,204.16,205.17,204.16,205.17,22.15223,13.532144500000133
2020-05-28T08:30:00Z,205.61,205.61,205.28,205.3,6.67001,13.82125950000013
2020-05-28T09:00:00Z,206.03,206.03,205.68,205.68,1.49401,13.89077450000013
2020-05-28T09:30:00Z,205.84,206.12,205.84,206.12,4.57511,13.886629500000131
2020-05-28T10:00:00Z,206.13,206.49,206.13,206.47,5.13922,12.65192200000013
2020-05-28T10:30:00Z,205.98,205.98,205.56,205.6,1.68442,11.279966000000131
2020-05-28T11:00:00Z,205.46,206.69,205.46,206.69,0.56984,10.782356000000132
2020-05-28T11:30:00Z,206.54,207.33,206.29,206.29,35.52583,12.15557050000013
2020-05-28T12:00:00Z,207.34,208.18,207.34,207.73,15.74134,12.91424150000013
2020-05-28T12:30:00Z,208.13,209.64,208.13,209.64,64.49644,15.81072250000013
2020-05-28T13:00:00Z,210.05,210.11,208.93,208.93,14.61626,12.189864000000131
2020-05-28T13:30:00Z,209.04,209.34,208.58,208.92,19.93704,13.162680500000132
2020-05-28T14:00:00Z,209.59,209.8,209.42,209.52,1.47806,13.098556500000134
2020-05-28T14:30:00Z,209.38,212,209.32,212,35.61858,14.850345000000136
2020-05-28T15:00:00Z,212.32,212.65,211.53,212.63,20.60767,15.018442000000135
2020-05-28T15:30:00Z,212.82,213.95,212.58,213.95,21.48937,16.051304500000136
2020-05-28T16:00:00Z,214.24,214.85,213.21,214.85,26.26327,16.818842000000135
2020-05-28T16:30:00Z,214.58,214.64,213.4,213.4,90.55924,20.644283500000135
2020-05-28T17:00:00Z,213.71,214.03,213.37,213.57,28.78207,21.665261500000135
2020-05-28T17:30:00Z,213.46,214.24,213.46,214.2,7.62202,21.251101500000136
2020-05-28T18:00:00Z,214.27,214.47,213.42,213.85,6.82325,20.484652500000134
2020-05-28T18:30:00Z,213.85,213.85,212.8,212.8,9.56043,20.629173500000135
2020-05-28T19:00:00Z,213.14,214.07,213.08,214.07,4.71685,20.790315500000137
2020-05-28T19:30:00Z,214.31,214.65,213.81,213.95,15.64203,21.343661500000135
2020-05-28T20:00:00Z,213.98,214.35,213.87,213.87,1.55343,21.164372000000135
2020-05-28T20:30:00Z,213.92,214.08,213.35,214.08,4.13144,21.286723000000134
2020-05-28T21:00:00Z,214.02,214.46,213.68,213.68,23.21993,22.419227500000133
2020-05-28T21:30:00Z,213.79,213.8,212.99,213.455,3.94924,20.840398000000132
2020-05-28T22:00:00Z,214.36,214.92,214.34,214.92,5.48823,20.327742500000134
2020-05-28T22:30:00Z,214.77,216.49,214.77,216.49,73.37763,20.771802000000132
2020-05-28T23:00:00Z,216.38,219.455,216.38,219.455,52.34204,22.658091000000134
2020-05-28T23:30:00Z,219.73,220.36,218.45,220.36,153.20099,29.32128850000013
2020-05-29T00:00:00Z,220.41,221.76,220.05,221.31,61.66063,32.330417000000125
2020-05-29T00:30:00Z,221.385,222.49,221.26,221.385,32.63199,32.181087500000125
2020-05-29T01:00:00Z,221.65,222.29,220.555,220.625,55.39244,33.920326000000124
2020-05-29T01:30:00Z,220.895,220.91,220.37,220.905,21.48399,33.92005700000012
2020-05-29T02:00:00Z,221.33,221.57,220.74,221.56,49.1773,35.065758500000115
2020-05-29T02:30:00Z,221.425,222.19,221.425,221.825,20.17038,31.546315500000116
2020-05-29T03:00:00Z,222.05,222.05,221.48,221.615,17.63026,30.98872500000012
2020-05-29T03:30:00Z,221.35,222.28,221.23,222.28,13.25643,31.27044550000012
2020-05-29T04:00:00Z,222.05,222.07,221.87,221.87,4.67873,31.163219500000118
2020-05-29T04:30:00Z,221.69,221.725,220.46,220.46,16.55695,31.513045500000118
2020-05-29T05:00:00Z,220.55,220.595,219.675,220.595,23.60236,32.457321000000114
2020-05-29T05:30:00Z,221.005,221.03,220.31,220.94,9.54685,32.15256200000012
2020-05-29T06:00:00Z,220.945,221.98,220.945,221.475,17.35857,32.942819000000114
2020-05-29T06:30:00Z,221.47,221.47,220.32,220.74,43.19687,34.89609050000011
2020-05-29T07:00:00Z,220.525,221.81,220.525,221.575,29.68456,35.21932200000011
2020-05-29T07:30:00Z,221.63,221.63,220.82,221.03,10.56755,35.55023750000011
2020-05-29T08:00:00Z,221.105,222.44,219.76,220.11,42.31642,37.391647000000106
2020-05-29T08:30:00Z,220.02,220.745,219.32,219.32,28.88463,35.16699700000011
2020-05-29T09:00:00Z,219.74,219.925,219.06,219.265,33.75641,34.23771550000011
2020-05-29T09:30:00Z,219.03,219.77,219.03,219.54,23.65878,27.760605000000112
2020-05-29T10:00:00Z,219.085,219.62,219.085,219.47,24.97819,25.926483000000115
2020-05-29T10:30:00Z,218.79,218.82,217.57,217.82,33.54897,25.97233200000012
2020-05-29T11:00:00Z,217.83,218.875,217.83,218.875,33.0477,24.85509500000012
2020-05-29T11:30:00Z,219.24,219.32,218.13,218.13,27.06797,25.134294000000118
2020-05-29T12:00:00Z,218.22,220.41,218.22,219.935,10.66767,23.208812500000118
2020-05-29T12:30:00Z,220.035,220.065,219.315,219.315,19.43157,23.171872000000118
2020-05-29T13:00:00Z,218.895,219.96,218.895,219.5,10.44275,22.812496500000115
2020-05-29T13:30:00Z,219.34,220.08,219.16,219.835,32.2458,23.761965000000117
2020-05-29T14:00:00Z,220.11,220.53,220.11,220.32,7.41646,23.898851500000116
2020-05-29T14:30:00Z,220.22,220.36,219.46,219.61,9.54967,23.548487500000117
2020-05-29T15:00:00Z,219.525,219.54,218.325,218.845,29.53809,23.84527400000012
